trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.75, 'e': 0.025999999999999884}",25,0,35.41074713885711,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.75, 'e': 0.024999999999999883}",25,0,32.190827071702934,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.75, 'e': 0.023999999999999883}",25,0,33.31213322916869,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.75, 'e': 0.02299999999999988}",25,6,32.455422465175154,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.75, 'e': 0.02199999999999988}",20,0,26.94633708184341,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.75, 'e': 0.02099999999999988}",20,0,29.401035553440394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.75, 'e': 0.01999999999999988}",25,0,37.037584080294685,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.75, 'e': 0.018999999999999878}",20,0,30.605487327610614,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.75, 'e': 0.017999999999999877}",20,5,26.66663810566396,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.75, 'e': 0.016999999999999876}",25,8,27.006921896105705,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.75, 'e': 0.015999999999999875}",25,0,33.47912397537641,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.75, 'e': 0.014999999999999875}",30,0,38.22760901055544,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.75, 'e': 0.013999999999999874}",25,7,26.42332682460298,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.75, 'e': 0.012999999999999873}",20,3,25.97207423483616,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.75, 'e': 0.011999999999999872}",30,11,24.64600175963073,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.75, 'e': 0.010999999999999871}",20,0,30.936036184383095,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.75, 'e': 0.00999999999999987}",20,0,30.098265537325958,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.75, 'e': 0.00899999999999987}",25,0,30.596736554451045,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.75, 'e': 0.007999999999999868}",20,7,25.381169354420024,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.75, 'e': 0.006999999999999868}",20,0,29.144028845180898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.75, 'e': 0.005999999999999868}",20,0,28.370049757400952,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.75, 'e': 0.004999999999999868}",20,6,22.63709289788771,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.75, 'e': 0.003999999999999868}",20,0,24.22784572227719,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.75, 'e': 0.0029999999999998682}",35,18,28.813593027189516,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.75, 'e': 0.001999999999999868}",20,0,32.217392830918065,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.75, 'e': 0.0009999999999998682}",25,0,32.19308869922256,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.75, 'e': -1.3183898417423734e-16}",20,0,31.81100302394922,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.75, 'e': -0.0010000000000001319}",20,0,26.949267811074716,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.75, 'e': -0.002000000000000132}",20,0,20.34784218564178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.75, 'e': -0.003000000000000132}",25,0,39.43624060339086,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.75, 'e': -0.004000000000000132}",20,0,21.978128894429002,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.75, 'e': -0.005000000000000132}",20,14,11.065690934880294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.75, 'e': -0.006000000000000132}",20,0,30.420166258772102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.75, 'e': -0.007000000000000132}",20,0,22.790971461849917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.75, 'e': -0.008000000000000132}",20,0,27.60295674602294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0.75, 'e': -0.009000000000000133}",20,0,29.26659043671509,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.75, 'e': -0.010000000000000134}",20,4,27.358132601711578,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.75, 'e': -0.011000000000000135}",30,0,43.34974891644866,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.75, 'e': -0.012000000000000136}",20,0,21.72679053934434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0.75, 'e': -0.013000000000000136}",20,0,24.977507918237166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
